long,lat
11.839056015014648,57.71877316651858
11.836395263671875,57.71886484651548
11.832146644592285,57.71881900654605
11.827211380004883,57.71881900654605
11.822876930236816,57.71884192653801
11.820516586303711,57.718681486289455
11.81978702545166,57.7185210453297
11.819186210632324,57.71822308166048
11.818456649780273,57.717787591885504
11.817383766174316,57.717214571040834
11.816782951354979,57.71700828131607
11.816225051879883,57.71664154112471
11.815913915634155,57.71630344921919
11.815624237060547,57.715976815057154
11.815441846847534,57.71568456094016
11.815356016159058,57.71539230446363
11.815388202667235,57.71512869855891
11.815570592880249,57.71467024893506
11.816010475158691,57.714183139848075
11.81654691696167,57.71362152358947
11.81674003601074,57.713289134352664
11.816761493682861,57.71293381834539
11.8168044090271,57.71220598273291
11.816858053207397,57.711839193887215
11.816622018814087,57.71121449808055
11.81627869606018,57.710778923984286
11.81577444076538,57.71034907598885
11.815345287322996,57.71002811949113
11.814808845520018,57.70963265132248
11.81452989578247,57.70939766094453
11.814444065093994,57.709334614486075
11.814229488372803,57.70897352810923
11.814208030700684,57.708727070260565
11.814197301864624,57.70832585622093
11.81430459022522,57.70810232075617
11.814626455307007,57.707689636272576
11.81504487991333,57.707385851633454
11.815892457962036,57.706806934227345
11.816267967224121,57.70652606997322
11.816407442092896,57.706245203540654
11.816911697387695,57.70602738725644
11.817362308502197,57.705637607477854
11.817598342895508,57.704915357387065
11.817619800567627,57.70407844640873
11.817941665649414,57.70342495452675
11.818199157714844,57.7030236817383
11.818928718566895,57.702553613674354
11.819443702697754,57.70232430996577
11.819765567779541,57.70209500480537
11.820752620697021,57.7014300116303
11.82103157043457,57.70117776964578
11.82105302810669,57.70053569121275
11.821181774139403,57.697841130825104
11.819121837615967,57.697841130825104
11.819121837615967,57.696522443119065
11.824893951416016,57.69654537722847
11.82500123977661,57.6949284869447
